se_name	cell_specific_gain	number_ce_gain	number_cancer_gain	gain_ce	number_ce_loss	number_cancer_loss	loss_ce
chr1_105132_139776	yes	5	3	chr1_113362_114631:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive|chr1_114742_116416:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive|chr1_117600_118984:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Lung_large_cell_carcinoma,Minimally_invasive_lung_adenocarcinoma,Prostate_carcinoma|chr1_119507_120410:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Minimally_invasive_lung_adenocarcinoma|chr1_134880_140167:Anaplastic_large_cell_lymphoma__ALK_positive,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Lung_non_small_cell_carcinoma	0	0	none
chr1_1057933_1081614	yes	1	1	chr1_1061130_1061907:Anaplastic_large_cell_lymphoma__ALK_positive	1	4	chr1_1077949_1081747:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia
chr1_107523544_107533206	yes	1	3	chr1_107523544_107528091:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_107643331_107709872	yes	3	1	chr1_107659690_107663242:Cutaneous_melanoma,Melanoma,Ovarian_endometrioid_adenocarcinoma|chr1_107696731_107699904:Cutaneous_melanoma,Melanoma|chr1_107704525_107709015:Plasma_cell_myeloma	0	0	none
chr1_107727821_107768532	yes	5	1	chr1_107732595_107734927:|chr1_107741844_107743261:Cutaneous_melanoma,Melanoma|chr1_107743856_107746525:Anaplastic_large_cell_lymphoma__ALK_positive|chr1_107754415_107758883:Invasive_breast_carcinoma_of_no_special_type|chr1_107763697_107768656:Prostate_carcinoma	0	0	none
chr1_10776348_10805322	no	0	0	none	0	0	none
chr1_107780865_107986808	yes	6	3	chr1_107843521_107847023:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_107861298_107869213:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_107895940_107901940:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_107916700_107922788:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_107939936_107944658:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Gliosarcoma|chr1_107961691_107965007:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr1_108041626_108126674	yes	6	3	chr1_108076717_108084463:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Prostate_carcinoma|chr1_108095282_108097198:Childhood_T_acute_lymphoblastic_leukemia|chr1_108098611_108100285:Childhood_T_acute_lymphoblastic_leukemia|chr1_108100442_108102539:Childhood_T_acute_lymphoblastic_leukemia|chr1_108106720_108108954:Adult_acute_myeloid_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Clear_cell_renal_cell_carcinoma,Lung_non_small_cell_carcinoma|chr1_108124142_108125716:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Prostate_carcinoma	0	0	none
chr1_108554380_108606145	yes	1	3	chr1_108569647_108573106:Anaplastic_large_cell_lymphoma__ALK_positive,Colon_carcinoma,Cutaneous_melanoma	1	2	chr1_108551441_108559990:High_grade_ovarian_serous_adenocarcinoma,Plasma_cell_myeloma
chr1_108800640_108855189	no	0	0	none	0	0	none
chr1_108876464_108899816	yes	3	2	chr1_108880670_108882014:Lung_non_small_cell_carcinoma,Prostate_carcinoma|chr1_108895842_108896964:Lung_non_small_cell_carcinoma,Prostate_carcinoma|chr1_108897115_108898241:Gliosarcoma,Prostate_carcinoma	1	1	chr1_108874759_108880446:Lung_large_cell_carcinoma
chr1_10899077_10902911	no	0	0	none	0	0	none
chr1_109040864_109112725	yes	2	1	chr1_109049343_109051791:Ovarian_endometrioid_adenocarcinoma,Papillary_renal_cell_carcinoma|chr1_109052180_109055037:Ovarian_endometrioid_adenocarcinoma	0	0	none
chr1_109137643_109186051	yes	1	2	chr1_109156021_109157627:Breast_adenocarcinoma,Colon_carcinoma	0	0	none
chr1_109196975_109313268	yes	2	4	chr1_109199523_109200018:Childhood_T_acute_lymphoblastic_leukemia|chr1_109238921_109242129:Breast_adenocarcinoma,Invasive_breast_carcinoma_of_no_special_type,Ovarian_serous_cystadenocarcinoma,Pleural_epithelioid_mesothelioma	1	4	chr1_109271940_109278205:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Gliosarcoma
chr1_10933992_10957020	no	0	0	none	0	0	none
chr1_109361248_109434373	no	0	0	none	0	0	none
chr1_109609696_109637204	yes	3	4	chr1_109615099_109615918:Adult_acute_myeloid_leukemia|chr1_109623341_109624943:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_109634590_109637352:Astrocytoma,Glioblastoma,Lung_large_cell_carcinoma,Pleural_epithelioid_mesothelioma	0	0	none
chr1_10965820_10982442	yes	2	1	chr1_10964467_10967241:Adult_acute_myeloid_leukemia,Cutaneous_melanoma|chr1_10968817_10969508:Plasma_cell_myeloma	0	0	none
chr1_109704800_109740845	yes	1	4	chr1_109723537_109733886:Colon_adenocarcinoma,Invasive_breast_carcinoma_of_no_special_type,Ovarian_endometrioid_adenocarcinoma,Pleural_epithelioid_mesothelioma	0	0	none
chr1_109774098_109825100	yes	2	4	chr1_109801591_109805581:Childhood_T_acute_lymphoblastic_leukemia,Lung_non_small_cell_carcinoma,Plasma_cell_myeloma|chr1_109806286_109809299:Childhood_T_acute_lymphoblastic_leukemia,Ovarian_endometrioid_adenocarcinoma,Pleural_epithelioid_mesothelioma,Prostate_carcinoma	0	0	none
chr1_109838174_109878070	yes	1	4	chr1_109863498_109866397:Astrocytoma,Glioblastoma,Gliosarcoma,Ovarian_serous_cystadenocarcinoma	0	0	none
chr1_109927087_110035367	yes	1	3	chr1_110010266_110013013:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	1	3	chr1_110001349_110006116:Adult_T_acute_lymphoblastic_leukemia,Amelanotic_melanoma,Plasma_cell_myeloma
chr1_11012320_11013564	no	0	0	none	0	0	none
chr1_110129586_110138224	yes	2	2	chr1_110129220_110131009:Cutaneous_melanoma,Melanoma|chr1_110135119_110138296:Cutaneous_melanoma,Melanoma	0	0	none
chr1_110176597_110190939	yes	1	3	chr1_110176597_110178927:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_110202953_110241100	yes	4	4	chr1_110202953_110203994:Breast_adenocarcinoma,Ovarian_endometrioid_adenocarcinoma|chr1_110214222_110216467:Breast_adenocarcinoma|chr1_110223978_110225509:Ovarian_endometrioid_adenocarcinoma,Pleural_epithelioid_mesothelioma|chr1_110227948_110231445:Anaplastic_large_cell_lymphoma__ALK_positive,Breast_adenocarcinoma,Colon_carcinoma,Ovarian_endometrioid_adenocarcinoma	0	0	none
chr1_110319094_110437583	yes	1	3	chr1_110360640_110362771:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_110463189_110495798	no	0	0	none	0	0	none
chr1_110554831_110566917	yes	2	3	chr1_110554831_110558120:Amelanotic_melanoma,Glioblastoma,Melanoma|chr1_110564813_110566917:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_110780702_110811859	yes	1	3	chr1_110782827_110789921:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Plasma_cell_myeloma	0	0	none
chr1_110872097_110892094	yes	1	1	chr1_110890039_110892161:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive	0	0	none
chr1_1109053_1178527	yes	4	3	chr1_1108770_1111205:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Colon_adenocarcinoma,Colon_carcinoma|chr1_1148751_1152041:Colon_adenocarcinoma,Colon_carcinoma,Ovarian_endometrioid_adenocarcinoma,Plasma_cell_myeloma|chr1_1169496_1172690:Adult_T_acute_lymphoblastic_leukemia,Plasma_cell_myeloma|chr1_1174136_1178527:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Plasma_cell_myeloma	1	1	chr1_1157450_1160978:Renal_cell_carcinoma
chr1_11097992_11112226	yes	1	4	chr1_11106909_11112226:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr1_111190475_111232750	no	0	0	none	0	0	none
chr1_111248821_111276152	yes	1	2	chr1_111266489_111268652:Cutaneous_melanoma,Melanoma	0	0	none
chr1_111470423_111517294	yes	6	4	chr1_111470423_111471989:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia|chr1_111473376_111474922:Adult_acute_myeloid_leukemia|chr1_111476172_111477581:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_111487291_111492862:Adult_acute_myeloid_leukemia,Cutaneous_melanoma,Melanoma|chr1_111512488_111514794:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr1_111515202_111517294:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Lung_non_small_cell_carcinoma,Papillary_renal_cell_carcinoma	0	0	none
chr1_111541582_111564413	yes	1	1	chr1_111559714_111560677:Pleural_epithelioid_mesothelioma	0	0	none
chr1_111715140_111756750	yes	4	2	chr1_111721742_111722481:Lung_large_cell_carcinoma|chr1_111742642_111744547:|chr1_111745777_111746426:Cutaneous_melanoma|chr1_111746642_111747552:Cutaneous_melanoma,Glioblastoma	1	4	chr1_111737964_111740663:Adult_T_acute_lymphoblastic_leukemia,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Lung_large_cell_carcinoma,Ovarian_serous_cystadenocarcinoma
chr1_11171670_11199817	yes	2	4	chr1_11184683_11190166:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr1_11197056_11199817:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr1_111769802_111790447	yes	3	3	chr1_111773884_111776511:Astrocytoma,Pleural_epithelioid_mesothelioma|chr1_111776584_111780263:Astrocytoma,Cutaneous_melanoma,Pleural_epithelioid_mesothelioma|chr1_111788510_111790702:Adult_acute_myeloid_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Pleural_epithelioid_mesothelioma	0	0	none
chr1_112388124_112416674	no	0	0	none	2	4	chr1_112388326_112392055:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Ovarian_serous_cystadenocarcinoma,Plasma_cell_myeloma|chr1_112392604_112398561:Adult_T_acute_lymphoblastic_leukemia,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Childhood_T_acute_lymphoblastic_leukemia,Plasma_cell_myeloma
chr1_112463370_112466893	no	0	0	none	0	0	none
chr1_112501951_112558165	yes	5	3	chr1_112512242_112514444:|chr1_112514701_112516900:Clear_cell_renal_cell_carcinoma,Ovarian_endometrioid_adenocarcinoma,Papillary_renal_cell_carcinoma|chr1_112531829_112534232:Pleural_epithelioid_mesothelioma|chr1_112536374_112538098:Breast_adenocarcinoma,Pleural_epithelioid_mesothelioma|chr1_112548016_112549428:Cutaneous_melanoma,Melanoma,Prostate_carcinoma	0	0	none
chr1_112605343_112646507	no	0	0	none	0	0	none
chr1_112696783_112715874	yes	2	1	chr1_112712691_112713733:|chr1_112713849_112714894:Clear_cell_renal_cell_carcinoma	2	2	chr1_112697751_112703529:Adult_T_acute_lymphoblastic_leukemia,Cutaneous_melanoma|chr1_112703628_112708207:Adult_acute_myeloid_leukemia,Plasma_cell_myeloma
chr1_112809116_112882032	yes	3	3	chr1_112828769_112830939:Cutaneous_melanoma,Melanoma|chr1_112872090_112873698:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Colon_carcinoma,Cutaneous_melanoma,Melanoma|chr1_112882024_112883947:Adult_acute_myeloid_leukemia,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Cutaneous_melanoma	0	0	none
chr1_112915343_112972287	yes	1	3	chr1_112926993_112928816:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	2	1	chr1_112934052_112939219:Breast_adenocarcinoma|chr1_112952698_112958816:Breast_adenocarcinoma
chr1_113191305_113210321	yes	1	2	chr1_113195543_113199229:Breast_adenocarcinoma,Minimally_invasive_lung_adenocarcinoma	0	0	none
chr1_113858943_113881524	no	0	0	none	0	0	none
chr1_113928182_113949241	yes	1	3	chr1_113937088_113941568:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr1_114108389_114132843	yes	3	3	chr1_114108375_114109728:Melanoma,Prostate_carcinoma|chr1_114122208_114124129:Cutaneous_melanoma,Glioblastoma,Melanoma|chr1_114129332_114132843:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_114322637_114346626	yes	5	3	chr1_114323566_114324625:Childhood_T_acute_lymphoblastic_leukemia|chr1_114329854_114331514:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_114331624_114332632:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_114333081_114334392:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_114340331_114343324:Adult_T_acute_lymphoblastic_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr1_114454652_114468317	no	0	0	none	0	0	none
chr1_114504886_114513254	yes	1	2	chr1_114504794_114506045:Adult_acute_myeloid_leukemia,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive	1	2	chr1_114508936_114511091:Minimally_invasive_lung_adenocarcinoma,Papillary_renal_cell_carcinoma
chr1_114714606_114723099	yes	2	2	chr1_114718882_114720296:Clear_cell_renal_cell_carcinoma,Papillary_renal_cell_carcinoma|chr1_114721150_114722899:Clear_cell_renal_cell_carcinoma,Ovarian_endometrioid_adenocarcinoma	0	0	none
chr1_114731895_114759351	no	0	0	none	0	0	none
chr1_115055658_115071111	yes	1	3	chr1_115064420_115066062:Astrocytoma,Lung_non_small_cell_carcinoma,Papillary_renal_cell_carcinoma	0	0	none
chr1_115112904_115258913	yes	6	3	chr1_115112904_115116169:Breast_adenocarcinoma,Clear_cell_renal_cell_carcinoma,Pleural_epithelioid_mesothelioma|chr1_115117286_115119498:Breast_adenocarcinoma,Invasive_breast_carcinoma_of_no_special_type,Minimally_invasive_lung_adenocarcinoma|chr1_115121769_115127310:|chr1_115208658_115212174:Pleural_epithelioid_mesothelioma|chr1_115219362_115225414:Clear_cell_renal_cell_carcinoma,Ovarian_serous_cystadenocarcinoma,Renal_cell_carcinoma|chr1_115226017_115232249:Glioblastoma,Ovarian_serous_cystadenocarcinoma,Prostate_carcinoma	0	0	none
chr1_115286697_115338943	yes	2	4	chr1_115289364_115291887:Pleural_epithelioid_mesothelioma|chr1_115312094_115316454:Breast_adenocarcinoma,Invasive_breast_carcinoma_of_no_special_type,Pleural_epithelioid_mesothelioma,Renal_cell_carcinoma	0	0	none
chr1_115423236_115432305	no	0	0	none	0	0	none
chr1_115491294_115566820	yes	1	1	chr1_115513282_115516870:Ovarian_endometrioid_adenocarcinoma	1	4	chr1_115541137_115566820:Adult_acute_myeloid_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Plasma_cell_myeloma
chr1_115642141_115682919	no	0	0	none	1	1	chr1_115665667_115672878:Lung_adenocarcinoma
chr1_115710720_115716341	no	0	0	none	0	0	none
chr1_115725123_115732478	yes	1	3	chr1_115730146_115732478:Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr1_115745810_115750693	no	0	0	none	0	0	none
chr1_116109552_116139134	yes	2	0	chr1_116119220_116124434:Ovarian_endometrioid_adenocarcinoma,Papillary_renal_cell_carcinoma,Renal_cell_carcinoma|chr1_116128753_116129666:	0	0	none
chr1_116308812_116380944	yes	7	3	chr1_116324213_116327673:Breast_adenocarcinoma,Colon_adenocarcinoma,Plasma_cell_myeloma|chr1_116328500_116331402:Astrocytoma,Breast_adenocarcinoma,Melanoma,Plasma_cell_myeloma|chr1_116339690_116342164:Breast_adenocarcinoma,Minimally_invasive_lung_adenocarcinoma|chr1_116345435_116349037:Breast_adenocarcinoma,Melanoma,Minimally_invasive_lung_adenocarcinoma|chr1_116349401_116350800:Astrocytoma|chr1_116355701_116358425:Astrocytoma,Lung_large_cell_carcinoma,Lung_non_small_cell_carcinoma|chr1_116358781_116361072:Astrocytoma,Lung_non_small_cell_carcinoma,Minimally_invasive_lung_adenocarcinoma	0	0	none
chr1_116408823_116441569	yes	1	4	chr1_116408710_116413631:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Colon_adenocarcinoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_116454104_116575488	yes	1	2	chr1_116464187_116467265:Cutaneous_melanoma,Melanoma	0	0	none
chr1_116624110_116697134	yes	3	4	chr1_116648248_116650506:Clear_cell_renal_cell_carcinoma,Cutaneous_melanoma|chr1_116673233_116676569:Breast_adenocarcinoma,Invasive_breast_carcinoma_of_no_special_type,Minimally_invasive_lung_adenocarcinoma|chr1_116677061_116683823:Amelanotic_melanoma,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Cutaneous_melanoma,Melanoma	0	0	none
chr1_116737543_116779384	no	0	0	none	0	0	none
chr1_116810393_116828784	yes	1	3	chr1_116814808_116817718:Adult_T_acute_lymphoblastic_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr1_116870660_116887186	yes	3	3	chr1_116870660_116874059:Cutaneous_melanoma,Melanoma|chr1_116874150_116875046:Cutaneous_melanoma,Glioblastoma,Melanoma|chr1_116886063_116887507:Clear_cell_renal_cell_carcinoma,Minimally_invasive_lung_adenocarcinoma,Pleural_epithelioid_mesothelioma	0	0	none
chr1_116965053_116974113	yes	2	0	chr1_116965053_116968324:|chr1_116968696_116969808:	0	0	none
chr1_116986870_117014357	yes	2	4	chr1_117001255_117002556:Adult_acute_myeloid_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive|chr1_117002903_117004456:Adult_acute_myeloid_leukemia,Clear_cell_renal_cell_carcinoma,Gliosarcoma,Minimally_invasive_lung_adenocarcinoma	0	0	none
chr1_117091828_117130479	no	0	0	none	0	0	none
chr1_117143791_117212128	yes	2	4	chr1_117160381_117164588:Clear_cell_renal_cell_carcinoma,Ovarian_endometrioid_adenocarcinoma,Ovarian_serous_cystadenocarcinoma,Prostate_carcinoma|chr1_117187075_117190931:Breast_adenocarcinoma,Clear_cell_renal_cell_carcinoma,Lung_large_cell_carcinoma,Ovarian_serous_cystadenocarcinoma	0	0	none
chr1_11718651_11742219	no	0	0	none	1	2	chr1_11735501_11742219:Childhood_T_acute_lymphoblastic_leukemia,Minimally_invasive_lung_adenocarcinoma
chr1_117230003_117240221	yes	1	1	chr1_117239440_117241217:Ovarian_endometrioid_adenocarcinoma	0	0	none
chr1_117266130_117281383	yes	2	1	chr1_117274735_117276285:|chr1_117278303_117279694:Breast_adenocarcinoma	0	0	none
chr1_117605054_117687069	yes	2	3	chr1_117624082_117641042:Breast_adenocarcinoma,Minimally_invasive_lung_adenocarcinoma,Plasma_cell_myeloma|chr1_117641333_117648499:Anaplastic_large_cell_lymphoma__ALK_positive,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Plasma_cell_myeloma	0	0	none
chr1_117778597_117822563	yes	2	4	chr1_117793310_117795447:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr1_117799969_117806870:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr1_117821019_117842622	no	0	0	none	0	0	none
chr1_11783269_11815780	no	0	0	none	0	0	none
chr1_118097578_118152350	yes	2	2	chr1_118096210_118098441:Cutaneous_melanoma,Gliosarcoma,Prostate_carcinoma|chr1_118135031_118137554:Astrocytoma,Prostate_carcinoma	0	0	none
chr1_118861039_118864948	no	0	0	none	0	0	none
chr1_118890588_118904265	yes	2	0	chr1_118890239_118892111:Prostate_carcinoma|chr1_118904259_118904547:	0	0	none
chr1_118943510_119013150	yes	2	4	chr1_118943510_118945599:Gliosarcoma,Lung_non_small_cell_carcinoma|chr1_118977780_118980632:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Clear_cell_renal_cell_carcinoma,Gliosarcoma,Ovarian_serous_cystadenocarcinoma	0	0	none
chr1_11901297_11911561	yes	1	1	chr1_11901252_11902291:Colon_carcinoma	0	0	none
chr1_119134304_119142710	no	0	0	none	0	0	none
chr1_119278099_119281167	no	0	0	none	0	0	none
chr1_119564449_119567029	no	0	0	none	0	0	none
chr1_119594833_119687331	yes	1	3	chr1_119667142_119669703:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	1	3	chr1_119642807_119649476:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Plasma_cell_myeloma
chr1_119731088_119744179	yes	1	2	chr1_119736771_119738368:Breast_adenocarcinoma,Cutaneous_melanoma	0	0	none
chr1_119809225_119830283	yes	1	2	chr1_119810335_119814322:Colon_carcinoma,Prostate_carcinoma	0	0	none
chr1_119942019_119963680	yes	3	4	chr1_119946074_119948654:|chr1_119953446_119955016:Anaplastic_large_cell_lymphoma__ALK_positive|chr1_119960623_119963687:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr1_120036029_120101195	no	0	0	none	1	2	chr1_120067562_120069765:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Childhood_T_acute_lymphoblastic_leukemia
chr1_120122358_120199835	yes	1	4	chr1_120196380_120199835:Astrocytoma,Clear_cell_renal_cell_carcinoma,Lung_non_small_cell_carcinoma,Renal_cell_carcinoma	0	0	none
chr1_120229390_120289825	yes	1	1	chr1_120276056_120279706:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive	0	0	none
chr1_120325887_120360364	yes	2	1	chr1_120331007_120332812:|chr1_120334102_120335146:Colon_adenocarcinoma	0	0	none
chr1_12043969_12103163	no	0	0	none	0	0	none
chr1_120501927_120507748	no	0	0	none	0	0	none
chr1_120520141_120569186	no	0	0	none	1	3	chr1_120551260_120560302:Adult_acute_myeloid_leukemia,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Childhood_T_acute_lymphoblastic_leukemia
chr1_120608502_120666000	yes	2	3	chr1_120618675_120622361:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive|chr1_120646517_120657075:Anaplastic_large_cell_lymphoma__ALK_positive,Astrocytoma,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive	0	0	none
