se_name	cell_specific_gain	number_ce_gain	number_cell_gain	gain_ce	number_ce_loss	number_cell_loss	loss_ce
chr1_103332148_103349118	yes	4	9	chr1_103331831_103335030:M14,MALME-3M,MDA-MB-435,NCI-H226,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr1_103336065_103338625:M14,MALME-3M,SF-539,SK-MEL-2,SK-MEL-28,UACC-62|chr1_103339957_103343339:M14,MDA-MB-435,SF-539,SK-MEL-2,SK-MEL-28,SNB-75,UACC-257|chr1_103347553_103349161:M14,MALME-3M,MDA-MB-435,NCI-H522,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr1_10373782_10431330	yes	2	2	chr1_10373760_10375362:CAKI-1,IGROV1,K-562,MOLT-4,NCI-H460,OVCAR-4,SK-OV-3,SW-620|chr1_10418266_10418657:A549,NCI-H460	2	2	chr1_10397118_10405319:CCRF-CEM,HS_578T,MALME-3M,SK-MEL-5,UACC-62|chr1_10429750_10431691:MALME-3M,OVCAR-5
chr1_104182241_104192174	yes	1	8	chr1_104188493_104192297:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr1_10494381_10531884	no	0	0	none	0	0	none
chr1_105132_139776	yes	5	5	chr1_113362_114631:K-562|chr1_114742_116416:K-562|chr1_117600_118984:A498,A549,DU-145,K-562,NCI-H322M,NCI-H460|chr1_119507_120410:K-562,NCI-H322M|chr1_134880_140167:HOP-92,K-562,OVCAR-8,SK-MEL-2,SR	0	0	none
chr1_1057933_1081614	yes	1	1	chr1_1061130_1061907:SR	1	6	chr1_1077949_1081747:CCRF-CEM,HL-60,KM12,MALME-3M,MOLT-4,SR
chr1_107523544_107533206	yes	2	12	chr1_107523544_107528091:LOX_IMVI,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SW-620,UACC-257|chr1_107528248_107533206:M14,MALME-3M,MDA-MB-435,MDA-MB-468,OVCAR-3,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,SW-620,UACC-257,UACC-62	0	0	none
chr1_107643331_107709872	yes	5	2	chr1_107655037_107659423:IGROV1,MALME-3M,MDA-MB-435,OVCAR-3,SK-MEL-28,SK-OV-3,SNB-75,UACC-257|chr1_107659690_107663242:IGROV1,MALME-3M,SK-MEL-28,T-47D,UACC-257|chr1_107664014_107667627:ACHN,IGROV1,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,UACC-257,UACC-62,X786-0|chr1_107696731_107699904:MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr1_107704525_107709015:LOX_IMVI,RPMI-8226	0	0	none
chr1_107727821_107768532	yes	6	2	chr1_107732595_107734927:OVCAR-3,RXF_393,X786-0|chr1_107737642_107741565:M14,MALME-3M,MDA-MB-435,MDA-MB-468,OVCAR-3,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SR,T-47D,UACC-257|chr1_107741844_107743261:MALME-3M,MDA-MB-435,OVCAR-3,SK-MEL-28,UACC-257|chr1_107743856_107746525:SR,T-47D|chr1_107754415_107758883:MCF7,T-47D|chr1_107763697_107768656:PC-3,T-47D	0	0	none
chr1_10776348_10805322	yes	1	12	chr1_10802750_10805322:COLO_205,HCC-2998,HCT-116,HCT-15,HT29,MCF7,MDA-MB-468,OVCAR-3,OVCAR-4,OVCAR-5,RPMI-8226,T-47D	0	0	none
chr1_107780865_107986808	yes	6	3	chr1_107843521_107847023:CCRF-CEM,HL-60,MOLT-4|chr1_107861298_107869213:CCRF-CEM,MOLT-4|chr1_107895940_107901940:CCRF-CEM,HL-60,MOLT-4,OVCAR-3,UACC-62|chr1_107916700_107922788:CCRF-CEM,HL-60,MOLT-4|chr1_107939936_107944658:CCRF-CEM,HL-60,MOLT-4,SF-539|chr1_107961691_107965007:CCRF-CEM,HL-60,MOLT-4	0	0	none
chr1_108041626_108126674	yes	8	3	chr1_108048069_108053346:CCRF-CEM,HL-60,IGROV1,MOLT-4,OVCAR-3,PC-3,RXF_393,SK-MEL-28,SNB-75,SR,U251,UACC-62|chr1_108076717_108084463:CCRF-CEM,MOLT-4,PC-3|chr1_108095282_108097198:CCRF-CEM|chr1_108098611_108100285:CCRF-CEM|chr1_108100442_108102539:CCRF-CEM|chr1_108106720_108108954:CAKI-1,CCRF-CEM,HL-60,HOP-92,LOX_IMVI,RXF_393,TK-10,X786-0|chr1_108117767_108120521:CCRF-CEM,HL-60,MOLT-4,PC-3,SF-539,SK-MEL-28|chr1_108124142_108125716:CCRF-CEM,MOLT-4,PC-3	0	0	none
chr1_108554380_108606145	yes	1	5	chr1_108569647_108573106:COLO_205,KM12,SK-MEL-2,SK-MEL-28,SR	1	8	chr1_108551441_108559990:BT-549,HS_578T,MDA-MB-231,NCI_ADR-RES,OVCAR-3,OVCAR-4,RPMI-8226,U251
chr1_108800640_108855189	yes	1	5	chr1_108851618_108854372:CCRF-CEM,HL-60,MOLT-4,SF-539,SR	0	0	none
chr1_108876464_108899816	yes	3	3	chr1_108880670_108882014:DU-145,EKVX,HOP-92,LOX_IMVI|chr1_108895842_108896964:BT-549,DU-145,HOP-92,MALME-3M|chr1_108897115_108898241:BT-549,DU-145,SF-539	1	1	chr1_108874759_108880446:NCI-H460
chr1_10899077_10902911	no	0	0	none	0	0	none
chr1_109040864_109112725	yes	2	1	chr1_109049343_109051791:ACHN,IGROV1|chr1_109052180_109055037:IGROV1	1	1	chr1_109099221_109104389:MDA-MB-231
chr1_109137643_109186051	yes	3	11	chr1_109156021_109157627:KM12,MDA-MB-468,T-47D|chr1_109157827_109164105:HS_578T,MCF7,MDA-MB-468,SF-539,SK-MEL-28,SR,T-47D|chr1_109180158_109183331:A549,COLO_205,EKVX,HCT-15,IGROV1,K-562,KM12,MCF7,PC-3,RXF_393,T-47D	0	0	none
chr1_109196975_109313268	yes	2	10	chr1_109199523_109200018:CCRF-CEM,SN12C|chr1_109238921_109242129:HCT-15,MCF7,MDA-MB-468,NCI_ADR-RES,NCI-H226,OVCAR-8,SK-OV-3,SNB-19,T-47D,X786-0	1	10	chr1_109271940_109278205:BT-549,CCRF-CEM,HCC-2998,HL-60,KM12,LOX_IMVI,MOLT-4,NCI-H23,SF-295,SF-539
chr1_10933992_10957020	yes	1	9	chr1_10936147_10942478:COLO_205,HCC-2998,HCT-15,M14,MDA-MB-231,MOLT-4,RPMI-8226,SK-MEL-28,SW-620	0	0	none
chr1_109361248_109434373	yes	1	10	chr1_109411840_109413753:M14,MALME-3M,MDA-MB-435,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	0	0	none
chr1_109609696_109637204	yes	4	11	chr1_109615099_109615918:HL-60|chr1_109623341_109624943:CCRF-CEM,HL-60,MOLT-4,NCI-H23,X786-0|chr1_109627416_109629765:A498,ACHN,HOP-92,LOX_IMVI,NCI-H226,RXF_393,TK-10,UO-31,X786-0|chr1_109634590_109637352:A498,A549,HT29,NCI-H226,NCI-H23,NCI-H460,OVCAR-5,RXF_393,SNB-19,SNB-75,U251	0	0	none
chr1_10965820_10982442	yes	2	1	chr1_10964467_10967241:HL-60,SK-MEL-5|chr1_10968817_10969508:RPMI-8226	0	0	none
chr1_109704800_109740845	yes	1	8	chr1_109723537_109733886:COLO_205,HCC-2998,HCT-15,HT29,IGROV1,MCF7,NCI-H226,T-47D	0	0	none
chr1_109774098_109825100	yes	4	11	chr1_109785863_109787817:A549,HCC-2998,HT29,IGROV1,MDA-MB-468,NCI-H226,NCI-H460,OVCAR-5,SK-MEL-2,SK-OV-3|chr1_109801591_109805581:CCRF-CEM,HOP-62,HOP-92,LOX_IMVI,RPMI-8226,SN12C,T-47D,UO-31|chr1_109806286_109809299:A549,CCRF-CEM,DU-145,HOP-62,IGROV1,NCI-H226,SN12C,T-47D|chr1_109814031_109820036:HL-60,K-562,MDA-MB-468,OVCAR-4,RPMI-8226,SF-539,SK-MEL-28,SK-OV-3,SNB-75,U251,UACC-257	0	0	none
chr1_109838174_109878070	yes	3	8	chr1_109838173_109840353:A498,HOP-92,NCI-H226,NCI-H460,PC-3,SF-295,SK-MEL-2,SN12C,SNB-19,SNB-75,TK-10,X786-0|chr1_109851030_109853234:HOP-92,K-562,MDA-MB-435,OVCAR-4,PC-3,RXF_393,SF-295,SK-MEL-2,SK-OV-3,SNB-19,SNB-75,UACC-62|chr1_109863498_109866397:OVCAR-3,SF-295,SF-539,SK-MEL-2,SK-OV-3,SNB-19,SNB-75,U251	0	0	none
chr1_109927087_110035367	yes	2	6	chr1_109988807_109991171:MDA-MB-468,NCI-H322M,NCI-H460,OVCAR-4,SF-539,SK-MEL-5,SK-OV-3,U251|chr1_110010266_110013013:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257	1	8	chr1_110001349_110006116:M14,MALME-3M,MDA-MB-231,MDA-MB-435,MOLT-4,RPMI-8226,SW-620,UACC-257
chr1_11012320_11013564	no	0	0	none	0	0	none
chr1_110129586_110138224	yes	2	6	chr1_110129220_110131009:MALME-3M,SK-MEL-2,SK-MEL-28,UACC-257|chr1_110135119_110138296:M14,MALME-3M,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257	0	0	none
chr1_110176597_110190939	yes	2	9	chr1_110176597_110178927:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr1_110185446_110190939:M14,MALME-3M,MDA-MB-435,MDA-MB-468,NCI-H226,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257	0	0	none
chr1_110202953_110241100	yes	4	4	chr1_110202953_110203994:IGROV1,MDA-MB-468,OVCAR-5|chr1_110214222_110216467:MDA-MB-468|chr1_110223978_110225509:IGROV1,NCI-H226|chr1_110227948_110231445:IGROV1,KM12,MDA-MB-468,SR	0	0	none
chr1_110319094_110437583	yes	2	10	chr1_110360640_110362771:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr1_110379542_110386298:ACHN,CCRF-CEM,HL-60,MOLT-4,NCI-H460,SF-295,SK-MEL-2,SR,UACC-257,UACC-62	0	0	none
chr1_110463189_110495798	yes	1	11	chr1_110462268_110466791:KM12,M14,MALME-3M,PC-3,RPMI-8226,SF-295,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr1_110554831_110566917	yes	2	7	chr1_110554831_110558120:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SNB-75,SW-620,UACC-257,UACC-62|chr1_110564813_110566917:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr1_110780702_110811859	yes	1	3	chr1_110782827_110789921:CCRF-CEM,MOLT-4,RPMI-8226	0	0	none
chr1_110872097_110892094	yes	3	1	chr1_110871981_110876348:CCRF-CEM,HL-60,K-562,MOLT-4,RPMI-8226,SR|chr1_110876968_110882199:CCRF-CEM,DU-145,EKVX,HL-60,HOP-92,K-562,LOX_IMVI,RXF_393,SR,X786-0|chr1_110890039_110892161:K-562	0	0	none
chr1_1109053_1178527	yes	4	4	chr1_1108770_1111205:HCC-2998,HCT-15,HT29,K-562,KM12,OVCAR-5|chr1_1148751_1152041:COLO_205,HCC-2998,HT29,IGROV1,KM12,RPMI-8226,SW-620|chr1_1169496_1172690:HCC-2998,MOLT-4,RPMI-8226|chr1_1174136_1178527:HCT-15,HL-60,MOLT-4,RPMI-8226	1	5	chr1_1157450_1160978:A498,MALME-3M,NCI-H522,RXF_393,X786-0
chr1_11097992_11112226	yes	1	9	chr1_11106909_11112226:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	0	0	none
chr1_111190475_111232750	no	0	0	none	0	0	none
chr1_111248821_111276152	yes	2	5	chr1_111248821_111255008:CCRF-CEM,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr1_111266489_111268652:M14,MALME-3M,SK-MEL-2,SK-MEL-28,UACC-257	0	0	none
chr1_111470423_111517294	yes	6	7	chr1_111470423_111471989:CCRF-CEM,HL-60,MOLT-4,SR|chr1_111473376_111474922:HL-60|chr1_111476172_111477581:CCRF-CEM,HL-60,MOLT-4|chr1_111487291_111492862:HL-60,M14,MALME-3M,SK-MEL-28,UACC-257|chr1_111512488_111514794:M14,MALME-3M,MCF7,MDA-MB-435,SK-MEL-2,SK-MEL-28,UACC-257,UACC-62|chr1_111515202_111517294:ACHN,HL-60,HOP-92,MALME-3M,MOLT-4,SN12C,U251	1	2	chr1_111502702_111509457:OVCAR-4,SW-620
chr1_111541582_111564413	yes	1	1	chr1_111559714_111560677:NCI-H226	0	0	none
chr1_111715140_111756750	yes	4	4	chr1_111721742_111722481:HS_578T,NCI-H460,UACC-62|chr1_111742642_111744547:HS_578T,UACC-62|chr1_111745777_111746426:M14,SK-MEL-28,U251,UACC-62|chr1_111746642_111747552:HS_578T,M14,SK-MEL-28,SNB-75	0	0	none
chr1_11171670_11199817	yes	2	9	chr1_11184683_11190166:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr1_11197056_11199817:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	0	0	none
chr1_111769802_111790447	yes	3	4	chr1_111773884_111776511:NCI-H226,SF-268,U251|chr1_111776584_111780263:HS_578T,NCI-H226,NCI-H522,SF-268,SK-MEL-2,SK-MEL-28,SN12C,U251|chr1_111788510_111790702:HL-60,HS_578T,NCI-H226,SR	0	0	none
chr1_112388124_112416674	no	0	0	none	2	4	chr1_112388326_112392055:CCRF-CEM,HOP-62,MDA-MB-468,MOLT-4,OVCAR-8,RPMI-8226,SK-OV-3,T-47D,UACC-257|chr1_112392604_112398561:CCRF-CEM,K-562,MOLT-4,RPMI-8226
chr1_112463370_112466893	no	0	0	none	0	0	none
chr1_112501951_112558165	yes	5	7	chr1_112512242_112514444:SNB-19|chr1_112514701_112516900:ACHN,IGROV1,RXF_393,SNB-19,TK-10,X786-0|chr1_112531829_112534232:HS_578T,LOX_IMVI,NCI-H226,SF-268|chr1_112536374_112538098:HS_578T,MDA-MB-231,NCI-H226|chr1_112548016_112549428:BT-549,MDA-MB-435,PC-3,SK-MEL-2,SK-MEL-28,UACC-257,UACC-62	0	0	none
chr1_112605343_112646507	yes	1	8	chr1_112605343_112607284:HOP-92,LOX_IMVI,M14,NCI-H322M,RXF_393,SF-539,SNB-75,SR	0	0	none
chr1_112696783_112715874	yes	2	2	chr1_112712691_112713733:T-47D|chr1_112713849_112714894:T-47D,TK-10	2	3	chr1_112697751_112703529:MALME-3M,MDA-MB-231,MOLT-4,SK-MEL-28,SK-MEL-5,UACC-257|chr1_112703628_112708207:HL-60,MALME-3M,RPMI-8226
chr1_112809116_112882032	yes	5	5	chr1_112816482_112820833:HOP-92,K-562,KM12,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr1_112828769_112830939:M14,MALME-3M,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr1_112839466_112842959:HL-60,HOP-92,IGROV1,M14,MALME-3M,MDA-MB-231,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr1_112872090_112873698:HCT-15,K-562,KM12,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr1_112882024_112883947:HCC-2998,HL-60,K-562,SK-MEL-28,UACC-257	0	0	none
chr1_112915343_112972287	yes	1	7	chr1_112926993_112928816:HCC-2998,M14,MDA-MB-435,NCI_ADR-RES,SK-MEL-2,SK-MEL-5,UACC-62	2	3	chr1_112934052_112939219:COLO_205,MCF7,MDA-MB-231,MDA-MB-468,NCI-H23,OVCAR-5,SK-MEL-2,SK-MEL-5,SW-620,T-47D|chr1_112952698_112958816:COLO_205,MDA-MB-231,MDA-MB-468
chr1_113191305_113210321	yes	3	11	chr1_113190893_113192828:COLO_205,EKVX,HCT-116,HOP-92,LOX_IMVI,MDA-MB-468,NCI-H322M,OVCAR-5,SK-OV-3|chr1_113195543_113199229:MDA-MB-468,NCI-H322M,OVCAR-3|chr1_113199405_113210321:EKVX,HCT-15,IGROV1,K-562,MCF7,MDA-MB-468,NCI-H226,NCI-H322M,OVCAR-3,OVCAR-4,T-47D	0	0	none
chr1_113858943_113881524	yes	3	10	chr1_113866784_113869607:CAKI-1,CCRF-CEM,HOP-92,HS_578T,LOX_IMVI,RXF_393,SF-539,SR|chr1_113873925_113875810:CAKI-1,CCRF-CEM,COLO_205,HL-60,MOLT-4,OVCAR-5,RXF_393,SR,X786-0|chr1_113879789_113882006:CCRF-CEM,COLO_205,HT29,IGROV1,MDA-MB-468,MOLT-4,NCI-H322M,OVCAR-5,SNB-75,SR	0	0	none
chr1_113928182_113949241	yes	2	8	chr1_113937088_113941568:CCRF-CEM,HL-60,MOLT-4,OVCAR-8|chr1_113945169_113949317:CCRF-CEM,DU-145,HL-60,K-562,MOLT-4,OVCAR-5,OVCAR-8,SF-539	0	0	none
chr1_114108389_114132843	yes	3	6	chr1_114108375_114109728:DU-145,SK-MEL-2,SW-620,UACC-257,UACC-62|chr1_114122208_114124129:HS_578T,SF-295,SK-MEL-2,SK-MEL-28,UACC-62|chr1_114129332_114132843:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,UACC-257,UACC-62	0	0	none
chr1_114322637_114346626	yes	5	5	chr1_114323566_114324625:CCRF-CEM|chr1_114329854_114331514:CCRF-CEM,MOLT-4|chr1_114331624_114332632:CCRF-CEM,MOLT-4|chr1_114333081_114334392:CCRF-CEM,MOLT-4|chr1_114340331_114343324:CCRF-CEM,COLO_205,MOLT-4,SR,X786-0	0	0	none
chr1_114454652_114468317	yes	1	12	chr1_114466435_114469351:A498,CCRF-CEM,LOX_IMVI,MOLT-4,NCI-H226,NCI-H322M,OVCAR-5,SK-MEL-2,SK-MEL-28,SK-OV-3,SW-620,UACC-62	0	0	none
chr1_114504886_114513254	yes	1	5	chr1_114504794_114506045:HL-60,K-562,MCF7,MDA-MB-435,OVCAR-5	1	6	chr1_114508936_114511091:ACHN,COLO_205,HS_578T,MALME-3M,MDA-MB-468,NCI-H322M
chr1_114714606_114723099	yes	2	2	chr1_114718882_114720296:A498,ACHN,BT-549,CAKI-1|chr1_114721150_114722899:CAKI-1,IGROV1	0	0	none
chr1_114731895_114759351	no	0	0	none	0	0	none
chr1_115055658_115071111	yes	1	6	chr1_115064420_115066062:ACHN,HOP-92,RXF_393,SF-268,SN12C,SNB-19	0	0	none
chr1_115112904_115258913	yes	8	11	chr1_115112904_115116169:EKVX,HS_578T,MDA-MB-468,NCI-H226,OVCAR-5,RXF_393,SNB-19,TK-10,X786-0|chr1_115117286_115119498:EKVX,HS_578T,MDA-MB-468,NCI-H322M,OVCAR-5,RXF_393,T-47D,X786-0|chr1_115121769_115127310:HS_578T,RXF_393,X786-0|chr1_115139951_115145994:ACHN,BT-549,HS_578T,IGROV1,NCI-H226,PC-3,RXF_393,SF-268,X786-0|chr1_115208658_115212174:BT-549,HOP-62,NCI_ADR-RES,NCI-H226,OVCAR-8,SF-268,SN12C|chr1_115219362_115225414:RXF_393,SF-268,SK-OV-3,SN12C,TK-10,UO-31,X786-0|chr1_115226017_115232249:HS_578T,HT29,PC-3,RXF_393,SF-268,SK-OV-3,SNB-75,SW-620,X786-0|chr1_115236745_115241596:A498,BT-549,HS_578T,LOX_IMVI,NCI-H226,RXF_393,SF-268,SF-295,SK-OV-3,SNB-19,X786-0	0	0	none
chr1_115286697_115338943	yes	2	9	chr1_115289364_115291887:NCI-H226,SF-268|chr1_115312094_115316454:BT-549,HS_578T,MDA-MB-231,NCI-H226,OVCAR-4,RXF_393,SF-268,UO-31,X786-0	0	0	none
chr1_115423236_115432305	no	0	0	none	0	0	none
chr1_115491294_115566820	yes	1	1	chr1_115513282_115516870:IGROV1	1	8	chr1_115541137_115566820:HL-60,K-562,KM12,MCF7,MDA-MB-435,RPMI-8226,SK-MEL-5,SR
chr1_115642141_115682919	yes	1	9	chr1_115648154_115651772:CCRF-CEM,COLO_205,K-562,MOLT-4,NCI-H322M,NCI-H460,RPMI-8226,SK-MEL-28,SK-OV-3	1	12	chr1_115665667_115672878:EKVX,MCF7,NCI-H23,NCI-H522,OVCAR-3,OVCAR-4,SK-MEL-5,SN12C,SNB-75,UACC-257,UACC-62,UO-31
chr1_115710720_115716341	no	0	0	none	0	0	none
chr1_115725123_115732478	yes	1	5	chr1_115730146_115732478:SK-MEL-28,SNB-19,SNB-75,UACC-257,UACC-62	0	0	none
chr1_115745810_115750693	no	0	0	none	0	0	none
chr1_116109552_116139134	yes	3	4	chr1_116114484_116116969:ACHN,HS_578T,IGROV1,OVCAR-3,OVCAR-4,PC-3,RXF_393,SF-268,TK-10,UO-31,X786-0|chr1_116119220_116124434:ACHN,COLO_205,IGROV1,OVCAR-3,RXF_393,SF-268,SW-620,UO-31,X786-0|chr1_116128753_116129666:COLO_205,RXF_393,SW-620,X786-0	0	0	none
chr1_116308812_116380944	yes	7	10	chr1_116324213_116327673:COLO_205,HCC-2998,MDA-MB-468,RPMI-8226,SW-620|chr1_116328500_116331402:COLO_205,MDA-MB-468,OVCAR-3,RPMI-8226,SK-MEL-2,SNB-19,SW-620,U251,UACC-257|chr1_116339690_116342164:MDA-MB-468,NCI-H322M,OVCAR-3|chr1_116345435_116349037:MDA-MB-468,NCI-H322M,OVCAR-3,SK-MEL-2,SNB-19,UACC-257|chr1_116349401_116350800:SNB-19,U251|chr1_116355701_116358425:HOP-92,LOX_IMVI,NCI-H460,SNB-19,U251,UACC-62,UO-31|chr1_116358781_116361072:EKVX,HOP-92,LOX_IMVI,NCI-H322M,OVCAR-3,OVCAR-5,SNB-19,SW-620,U251,UO-31	0	0	none
chr1_116408823_116441569	yes	1	9	chr1_116408710_116413631:COLO_205,HCC-2998,K-562,M14,MALME-3M,SK-MEL-28,SK-MEL-5,SW-620,UACC-257	1	3	chr1_116414266_116419837:DU-145,NCI_ADR-RES,NCI-H522
chr1_116454104_116575488	yes	1	6	chr1_116464187_116467265:MALME-3M,MCF7,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257	0	0	none
chr1_116624110_116697134	yes	3	9	chr1_116648248_116650506:M14,SK-MEL-2,SK-MEL-28,TK-10,UO-31|chr1_116673233_116676569:EKVX,MCF7,MDA-MB-468,NCI-H322M,T-47D|chr1_116677061_116683823:K-562,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr1_116737543_116779384	yes	3	11	chr1_116753166_116760795:CCRF-CEM,HL-60,K-562,MOLT-4,SR|chr1_116761091_116773585:CAKI-1,CCRF-CEM,EKVX,K-562,MOLT-4,SR|chr1_116777077_116779384:CCRF-CEM,HS_578T,MOLT-4,NCI-H226,SK-MEL-28,SNB-75,SR,T-47D,U251,UACC-257,UACC-62	0	0	none
chr1_116810393_116828784	yes	1	3	chr1_116814808_116817718:CCRF-CEM,MOLT-4,SR	0	0	none
chr1_116870660_116887186	yes	3	6	chr1_116870660_116874059:M14,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr1_116874150_116875046:M14,SK-MEL-2,SK-MEL-28,SNB-75,UACC-257,UACC-62|chr1_116886063_116887507:CAKI-1,NCI-H226,NCI-H322M,OVCAR-4,T-47D,UO-31	0	0	none
chr1_116965053_116974113	yes	2	1	chr1_116965053_116968324:HS_578T|chr1_116968696_116969808:HS_578T	0	0	none
chr1_116986870_117014357	yes	4	9	chr1_117001255_117002556:HL-60,SR|chr1_117002903_117004456:CAKI-1,HL-60,NCI-H322M,RXF_393,SF-539,TK-10,X786-0|chr1_117006571_117010058:A498,CAKI-1,HL-60,HOP-92,NCI-H226,OVCAR-4,RXF_393,SF-295,SF-539,TK-10,UO-31,X786-0|chr1_117012242_117014548:CAKI-1,COLO_205,HOP-92,MCF7,MDA-MB-468,NCI-H322M,RXF_393,SF-295,T-47D	0	0	none
